Repeatid	Indist	Frequency
183055710	FALSE	0.0865921787709497
183059680	FALSE	0.00558659217877095
183072379	TRUE	0.209497206703911
183090491	FALSE	0.00279329608938548
183097090	FALSE	0.00279329608938548
183118235	TRUE	0.0111731843575419
183126520	FALSE	0.00837988826815642
183129293	TRUE	0.0893854748603352
183134913	FALSE	0.0139664804469274
183135054	FALSE	0.0418994413407821
183139331	TRUE	0.726256983240224
183140161	TRUE	0.994413407821229
183140238	TRUE	0.477653631284916
183148912	TRUE	0.00837988826815642
183154066	FALSE	0.00837988826815642
183158928	FALSE	0.00558659217877095
183159560	TRUE	0.491620111731844
183177863	TRUE	0.0195530726256983
183187514	TRUE	0.0474860335195531
183189220	TRUE	1
183190701	TRUE	0.43854748603352
183194795	FALSE	0.00558659217877095
183232618	TRUE	0.125698324022346
183238533	FALSE	0.00837988826815642
183240191	TRUE	0.00837988826815642
183255389	TRUE	0.00558659217877095
183255715	TRUE	0.00837988826815642
183258081	TRUE	0.974860335195531
183258087	FALSE	0.368715083798883
183263120	TRUE	0.00837988826815642
183273849	TRUE	0.0698324022346369
183274018	TRUE	0.0949720670391061
183274167	FALSE	0.00279329608938548
183335157	FALSE	0.0223463687150838
183350599	TRUE	0.209497206703911
183359455	TRUE	0.567039106145252
