chrom	start	end	size	missing	extra	gma	miss_normal	extr_normal	coverage	indis	multi
183259391	9	66682329	66682386	57	35	36	0.123457	0.795454545454545	0.818181818181818	44	FALSE	FALSE
183290224	X	275078	275138	60	21	20	0.33871	0.51219512195122	0.48780487804878	41	FALSE	FALSE
183290544	X	448105	448156	51	26	24	0.333333	0.52	0.48	50	FALSE	FALSE
183291502	X	969073	969142	69	14	18	0.372549	0.4375	0.5625	32	FALSE	FALSE
183293943	X	2621311	2621362	51	27	23	0.324324	0.54	0.46	50	FALSE	FALSE
183350860	X	153072696	153072752	56	23	22	0.338235	0.511111111111111	0.488888888888889	45	FALSE	FALSE
183350862	X	153077279	153077335	56	23	23	0.333333	0.511111111111111	0.511111111111111	45	FALSE	FALSE
183352221	Y	275078	275138	60	20	21	0.349206	0.48780487804878	0.51219512195122	41	FALSE	FALSE
183352541	Y	448105	448156	51	24	26	0.350649	0.48	0.52	50	FALSE	FALSE
183353499	Y	969073	969142	69	18	14	0.319149	0.5625	0.4375	32	FALSE	FALSE
183355940	Y	2621311	2621362	51	23	27	0.358974	0.46	0.54	50	FALSE	FALSE
183363357	Y	17466878	17466939	61	20	22	0.333333	0.5	0.55	40	FALSE	FALSE
183363974	Y	18439068	18439129	61	22	20	0.311475	0.55	0.5	40	FALSE	FALSE
183366243	Y	23742242	23742308	66	15	20	0.375	0.428571428571429	0.571428571428571	35	FALSE	FALSE
183367298	Y	25927776	25927842	66	20	16	0.307692	0.571428571428571	0.457142857142857	35	FALSE	FALSE
182220048	1	144554736	144554791	55	22	24	0.352113	0.478260869565217	0.521739130434783	46	FALSE	FALSE
182221089	1	146382848	146382903	55	23	22	0.347826	0.5	0.478260869565217	46	FALSE	FALSE
182462208	14	16036870	16036926	56	22	24	0.342857	0.488888888888889	0.533333333333333	45	FALSE	FALSE
182538776	16	16656664	16656725	61	23	20	0.295082	0.575	0.5	40	FALSE	FALSE
182539776	16	18702339	18702400	61	20	23	0.328125	0.5	0.575	40	FALSE	FALSE
182581192	17	19175485	19175552	67	20	17	0.288462	0.588235294117647	0.5	34	FALSE	FALSE
182581218	17	19202709	19202776	67	19	19	0.296296	0.558823529411765	0.558823529411765	34	FALSE	FALSE
182640416	19	113698	113769	71	17	15	0.304348	0.566666666666667	0.5	30	FALSE	FALSE
182712394	2	87253796	87253843	47	28	26	0.333333	0.518518518518518	0.481481481481481	54	FALSE	FALSE
182720901	2	111607748	111607795	47	27	27	0.341463	0.5	0.5	54	FALSE	FALSE
182814765	21	44175542	44175623	81	8	11	0.40625	0.4	0.55	20	FALSE	FALSE
182817208	22	11270613	11270669	56	23	23	0.333333	0.511111111111111	0.511111111111111	45	FALSE	FALSE
183049347	6	62104	62175	71	15	17	0.333333	0.5	0.566666666666667	30	FALSE	FALSE
183255832	9	41192789	41192833	44	25	23	0.407407	0.43859649122807	0.403508771929825	57	FALSE	FALSE
183259882	9	68238461	68238505	44	32	29	0.298851	0.56140350877193	0.508771929824561	57	FALSE	FALSE
183290603	X	476871	476919	48	30	23	0.311688	0.566037735849057	0.433962264150943	53	FALSE	FALSE
183291109	X	739070	739120	50	26	25	0.337662	0.509803921568627	0.490196078431373	51	FALSE	FALSE
183291332	X	867196	867256	60	20	21	0.349206	0.48780487804878	0.51219512195122	41	FALSE	FALSE
183291853	X	1148578	1148638	60	21	20	0.33871	0.51219512195122	0.48780487804878	41	FALSE	FALSE
183292251	X	1300357	1300416	59	23	19	0.322581	0.547619047619048	0.452380952380952	42	FALSE	FALSE
183293418	X	2201993	2202053	60	20	21	0.349206	0.48780487804878	0.51219512195122	41	FALSE	FALSE
183328347	X	92498892	92498939	47	26	29	0.345238	0.481481481481481	0.537037037037037	54	FALSE	FALSE
183350725	X	152714036	152714084	48	29	28	0.304878	0.547169811320755	0.528301886792453	53	FALSE	FALSE
183350741	X	152754386	152754434	48	29	28	0.304878	0.547169811320755	0.528301886792453	53	FALSE	FALSE
183352600	Y	476871	476919	48	23	30	0.369048	0.433962264150943	0.566037735849057	53	FALSE	FALSE
183353106	Y	739070	739120	50	25	26	0.346154	0.490196078431373	0.509803921568627	51	FALSE	FALSE
183353329	Y	867196	867256	60	21	20	0.33871	0.51219512195122	0.48780487804878	41	FALSE	FALSE
183353850	Y	1148578	1148638	60	20	21	0.349206	0.48780487804878	0.51219512195122	41	FALSE	FALSE
183354248	Y	1300357	1300416	59	19	23	0.363636	0.452380952380952	0.547619047619048	42	FALSE	FALSE
183355415	Y	2201993	2202053	60	21	20	0.33871	0.51219512195122	0.48780487804878	41	FALSE	FALSE
183357168	Y	5618104	5618151	47	29	26	0.320988	0.537037037037037	0.481481481481481	54	FALSE	FALSE
183366591	Y	24355953	24355998	45	25	26	0.385542	0.446428571428571	0.464285714285714	56	FALSE	FALSE
183366950	Y	25314138	25314183	45	26	25	0.378049	0.464285714285714	0.446428571428571	56	FALSE	FALSE
182284291	10	50712229	50712280	51	0	1	0.980769	0	0.02	50	FALSE	FALSE
182400635	12	83524846	83524901	55	1	0	0.978723	0.0217391304347826	0	46	FALSE	FALSE
182462608	14	19144137	19144197	60	23	22	0.296875	0.560975609756098	0.536585365853659	41	FALSE	FALSE
182462703	14	19255800	19255860	60	23	27	0.275362	0.560975609756098	0.658536585365854	41	FALSE	FALSE
182496459	14	105558713	105558762	49	29	24	0.311688	0.557692307692308	0.461538461538462	52	FALSE	FALSE
182496568	14	105618835	105618884	49	33	34	0.229885	0.634615384615385	0.653846153846154	52	FALSE	FALSE
182496591	14	105638079	105638130	51	26	25	0.328947	0.52	0.5	50	FALSE	FALSE
182496620	14	105661743	105661792	49	34	37	0.211111	0.653846153846154	0.711538461538462	52	FALSE	FALSE
182496638	14	105679127	105679176	49	24	29	0.353659	0.461538461538462	0.557692307692308	52	FALSE	FALSE
182496729	14	105734866	105734917	51	25	26	0.337662	0.5	0.52	50	FALSE	FALSE
182496763	14	105763025	105763074	49	35	31	0.214286	0.673076923076923	0.596153846153846	52	FALSE	FALSE
182541224	16	21422168	21422218	50	41	41	0.11828	0.803921568627451	0.803921568627451	51	FALSE	FALSE
182541448	16	21854446	21854496	50	40	39	0.131868	0.784313725490196	0.764705882352941	51	FALSE	FALSE
182541735	16	22516690	22516740	50	39	40	0.141304	0.764705882352941	0.784313725490196	51	FALSE	FALSE
182545669	16	29502673	29502723	50	39	42	0.138298	0.764705882352941	0.823529411764706	51	FALSE	FALSE
182546141	16	30242642	30242692	50	42	37	0.11236	0.823529411764706	0.725490196078431	51	FALSE	FALSE
182547718	16	32927445	32927493	48	27	25	0.341772	0.509433962264151	0.471698113207547	53	FALSE	FALSE
182548296	16	33926335	33926383	48	25	28	0.353659	0.471698113207547	0.528301886792453	53	FALSE	FALSE
182560886	16	69993273	69993323	50	26	25	0.337662	0.509803921568627	0.490196078431373	51	FALSE	FALSE
182614931	18	11636526	11636576	50	24	26	0.358974	0.470588235294118	0.509803921568627	51	FALSE	FALSE
182756653	2	208663745	208663801	56	0	1	0.978723	0	0.0222222222222222	45	FALSE	FALSE
182799013	21	6111248	6111301	53	25	23	0.333333	0.520833333333333	0.479166666666667	48	FALSE	FALSE
182814278	21	43426961	43427014	53	23	25	0.351351	0.479166666666667	0.520833333333333	48	FALSE	FALSE
182819463	22	18863108	18863159	51	26	26	0.324675	0.52	0.52	50	FALSE	FALSE
182820573	22	21299051	21299102	51	27	26	0.311688	0.54	0.52	50	FALSE	FALSE
182903842	3	185719827	185719893	66	0	1	0.972973	0	0.0285714285714286	35	FALSE	FALSE
182996440	5	34173667	34173718	51	32	28	0.240506	0.64	0.56	50	FALSE	FALSE
183060314	6	26876763	26876814	51	36	33	0.178571	0.72	0.66	50	FALSE	FALSE
183073012	6	57917558	57917609	51	35	42	0.172043	0.7	0.84	50	FALSE	FALSE
183138712	7	57031915	57031963	48	25	29	0.349398	0.471698113207547	0.547169811320755	53	FALSE	FALSE
183140916	7	63544883	63544931	48	30	24	0.307692	0.566037735849057	0.452830188679245	53	FALSE	FALSE
183141815	7	65149038	65149090	52	31	34	0.22619	0.63265306122449	0.693877551020408	49	FALSE	FALSE
183142092	7	65546885	65546937	52	34	31	0.197531	0.693877551020408	0.63265306122449	49	FALSE	FALSE
183142150	7	65655716	65655768	52	33	34	0.202381	0.673469387755102	0.693877551020408	49	FALSE	FALSE
183254952	9	39231287	39231338	51	23	26	0.363636	0.46	0.52	50	FALSE	FALSE
183255429	9	40449587	40449647	60	29	30	0.180556	0.707317073170732	0.731707317073171	41	FALSE	FALSE
183255583	9	40642246	40642296	50	37	38	0.166667	0.725490196078431	0.745098039215686	51	FALSE	FALSE
183256255	9	42069159	42069210	51	25	23	0.351351	0.5	0.46	50	FALSE	FALSE
183257059	9	61387718	61387769	51	27	24	0.32	0.54	0.48	50	FALSE	FALSE
183257761	9	63285115	63285175	60	31	30	0.152778	0.75609756097561	0.731707317073171	41	FALSE	FALSE
183258348	9	64589656	64589716	60	30	30	0.166667	0.731707317073171	0.731707317073171	41	FALSE	FALSE
183258481	9	64765476	64765526	50	35	37	0.191011	0.686274509803922	0.725490196078431	51	FALSE	FALSE
183258740	9	65250949	65250999	50	38	37	0.157303	0.745098039215686	0.725490196078431	51	FALSE	FALSE
183259022	9	65770962	65771012	50	41	38	0.122222	0.803921568627451	0.745098039215686	51	FALSE	FALSE
183259555	9	67118265	67118316	51	24	24	0.36	0.48	0.48	50	FALSE	FALSE
183291614	X	1013172	1013232	60	20	21	0.349206	0.48780487804878	0.51219512195122	41	FALSE	FALSE
183291641	X	1036382	1036436	54	24	23	0.338028	0.51063829787234	0.48936170212766	47	FALSE	FALSE
183292789	X	1594586	1594645	59	21	21	0.34375	0.5	0.5	42	FALSE	FALSE
183353611	Y	1013172	1013232	60	21	20	0.33871	0.51219512195122	0.48780487804878	41	FALSE	FALSE
183353638	Y	1036382	1036436	54	23	24	0.347222	0.48936170212766	0.51063829787234	47	FALSE	FALSE
183354786	Y	1594586	1594645	59	21	21	0.34375	0.5	0.5	42	FALSE	FALSE
182220497	1	145304643	145304699	56	26	28	0.27027	0.577777777777778	0.622222222222222	45	FALSE	FALSE
182220503	1	145307826	145307882	56	26	28	0.27027	0.577777777777778	0.622222222222222	45	FALSE	FALSE
182262079	10	45523	45589	66	18	18	0.333333	0.514285714285714	0.514285714285714	35	FALSE	FALSE
182529371	16	22977	23027	50	31	35	0.241379	0.607843137254902	0.686274509803922	51	FALSE	FALSE
182537864	16	15270073	15270132	59	32	27	0.157143	0.761904761904762	0.642857142857143	42	FALSE	FALSE
182538637	16	16486250	16486309	59	30	32	0.173333	0.714285714285714	0.761904761904762	42	FALSE	FALSE
182539531	16	18225994	18226053	59	27	29	0.222222	0.642857142857143	0.69047619047619	42	FALSE	FALSE
182610717	18	45854	45920	66	18	18	0.333333	0.514285714285714	0.514285714285714	35	FALSE	FALSE
182707272	2	73784956	73785008	52	33	41	0.186813	0.673469387755102	0.836734693877551	49	FALSE	FALSE
182707274	2	73789857	73789909	52	41	46	0.09375	0.836734693877551	0.938775510204082	49	FALSE	FALSE
182707276	2	73794754	73794806	52	39	37	0.126437	0.795918367346939	0.755102040816326	49	FALSE	FALSE
182707278	2	73799652	73799704	52	38	37	0.137931	0.775510204081633	0.755102040816326	49	FALSE	FALSE
182707280	2	73804552	73804604	52	41	35	0.105882	0.836734693877551	0.714285714285714	49	FALSE	FALSE
182707283	2	73809451	73809503	52	34	30	0.2	0.693877551020408	0.612244897959184	49	FALSE	FALSE
182798975	21	6058837	6058892	55	24	22	0.333333	0.521739130434783	0.478260869565217	46	FALSE	FALSE
182799125	21	6460096	6460141	45	24	29	0.383721	0.428571428571429	0.517857142857143	56	FALSE	FALSE
182799497	21	7798404	7798452	48	30	29	0.289157	0.566037735849057	0.547169811320755	53	FALSE	FALSE
182810046	21	34428416	34428464	48	29	30	0.297619	0.547169811320755	0.566037735849057	53	FALSE	FALSE
182814038	21	43068418	43068463	45	29	24	0.345679	0.517857142857143	0.428571428571429	56	FALSE	FALSE
182814311	21	43479671	43479726	55	21	24	0.366197	0.456521739130435	0.521739130434783	46	FALSE	FALSE
182817155	22	11159088	11159141	53	24	25	0.337838	0.5	0.520833333333333	48	FALSE	FALSE
182818409	22	16520898	16520951	53	25	24	0.328767	0.520833333333333	0.5	48	FALSE	FALSE
182868270	3	86486219	86486275	56	1	0	0.978261	0.0222222222222222	0	45	FALSE	FALSE
182906446	3	192305666	192305719	53	0	1	0.98	0	0.0208333333333333	48	FALSE	FALSE
183007969	5	69765739	69765792	53	38	40	0.123596	0.791666666666667	0.833333333333333	48	FALSE	FALSE
183007977	5	69789563	69789616	53	39	39	0.113636	0.8125	0.8125	48	FALSE	FALSE
183008269	5	70345587	70345640	53	40	44	0.0967742	0.833333333333333	0.916666666666667	48	FALSE	FALSE
183008274	5	70369371	70369424	53	40	35	0.107143	0.833333333333333	0.729166666666667	48	FALSE	FALSE
183008419	5	70640618	70640671	53	40	44	0.0967742	0.833333333333333	0.916666666666667	48	FALSE	FALSE
183008427	5	70664420	70664473	53	43	36	0.0705882	0.895833333333333	0.75	48	FALSE	FALSE
183008771	5	71345016	71345069	53	40	42	0.0989011	0.833333333333333	0.875	48	FALSE	FALSE
183146357	7	73031163	73031211	48	26	30	0.333333	0.490566037735849	0.566037735849057	53	FALSE	FALSE
183146383	7	73059308	73059356	48	30	26	0.3	0.566037735849057	0.490566037735849	53	FALSE	FALSE
183146408	7	73087435	73087483	48	34	31	0.235294	0.641509433962264	0.584905660377358	53	FALSE	FALSE
183148022	7	75305929	75305977	48	35	39	0.204301	0.660377358490566	0.735849056603774	53	FALSE	FALSE
183148049	7	75333895	75333943	48	38	37	0.175824	0.716981132075472	0.69811320754717	53	FALSE	FALSE
183256156	9	41851134	41851186	52	24	24	0.351351	0.489795918367347	0.489795918367347	49	FALSE	FALSE
183256264	9	42089161	42089209	48	32	32	0.255814	0.60377358490566	0.60377358490566	53	FALSE	FALSE
183257047	9	61367705	61367753	48	32	32	0.255814	0.60377358490566	0.60377358490566	53	FALSE	FALSE
183259652	9	67336275	67336327	52	24	23	0.356164	0.489795918367347	0.469387755102041	49	FALSE	FALSE
183270387	9	94415052	94415096	44	29	28	0.337209	0.508771929824561	0.491228070175439	57	FALSE	FALSE
183271440	9	96973010	96973054	44	29	29	0.333333	0.508771929824561	0.508771929824561	57	FALSE	FALSE
183274460	9	105256719	105256805	86	1	0	0.9375	0.0666666666666667	0	15	FALSE	FALSE
183290320	X	315111	315157	46	28	27	0.337349	0.509090909090909	0.490909090909091	55	FALSE	FALSE
183291526	X	978520	978571	51	25	25	0.342105	0.5	0.5	50	FALSE	FALSE
183291644	X	1037846	1037928	82	11	8	0.321429	0.578947368421053	0.421052631578947	19	FALSE	FALSE
183291785	X	1129162	1129216	54	24	23	0.338028	0.51063829787234	0.48936170212766	47	FALSE	FALSE
183292009	X	1209280	1209357	77	14	10	0.314286	0.583333333333333	0.416666666666667	24	FALSE	FALSE
183292106	X	1248206	1248258	52	25	24	0.337838	0.510204081632653	0.489795918367347	49	FALSE	FALSE
183293136	X	1827797	1827867	70	16	15	0.340426	0.516129032258065	0.483870967741935	31	FALSE	FALSE
183350813	X	152986841	152986886	45	29	33	0.311111	0.517857142857143	0.589285714285714	56	FALSE	FALSE
183350990	X	153316315	153316360	45	33	29	0.27907	0.589285714285714	0.517857142857143	56	FALSE	FALSE
183352141	X	156016720	156016770	50	37	36	0.170455	0.725490196078431	0.705882352941177	51	FALSE	FALSE
183352317	Y	315111	315157	46	27	28	0.345238	0.490909090909091	0.509090909090909	55	FALSE	FALSE
183353523	Y	978520	978571	51	25	25	0.342105	0.5	0.5	50	FALSE	FALSE
183353641	Y	1037846	1037928	82	8	11	0.387097	0.421052631578947	0.578947368421053	19	FALSE	FALSE
183353782	Y	1129162	1129216	54	23	24	0.347222	0.48936170212766	0.51063829787234	47	FALSE	FALSE
183354006	Y	1209280	1209357	77	10	14	0.384615	0.416666666666667	0.583333333333333	24	FALSE	FALSE
183354103	Y	1248206	1248258	52	24	25	0.346667	0.489795918367347	0.510204081632653	49	FALSE	FALSE
183355133	Y	1827797	1827867	70	15	16	0.354167	0.483870967741935	0.516129032258065	31	FALSE	FALSE
183366023	Y	23128659	23128721	62	29	30	0.157143	0.743589743589744	0.769230769230769	39	FALSE	FALSE
183366059	Y	23291990	23292052	62	31	29	0.130435	0.794871794871795	0.743589743589744	39	FALSE	FALSE
183366387	Y	24021505	24021559	54	21	22	0.385714	0.446808510638298	0.468085106382979	47	FALSE	FALSE
183366584	Y	24336267	24336321	54	25	25	0.315068	0.531914893617021	0.531914893617021	47	FALSE	FALSE
183366753	Y	24762382	24762444	62	30	30	0.142857	0.769230769230769	0.769230769230769	39	FALSE	FALSE
183366781	Y	24907669	24907731	62	30	31	0.140845	0.769230769230769	0.794871794871795	39	FALSE	FALSE
183366957	Y	25333829	25333883	54	26	24	0.305556	0.553191489361702	0.51063829787234	47	FALSE	FALSE
183367148	Y	25648578	25648632	54	22	22	0.371429	0.468085106382979	0.468085106382979	47	FALSE	FALSE
183367787	Y	57203240	57203290	50	36	32	0.190476	0.705882352941177	0.627450980392157	51	FALSE	FALSE
182221154	1	146566762	146566815	53	24	25	0.337838	0.5	0.520833333333333	48	FALSE	FALSE
182221936	1	148775128	148775182	54	27	27	0.28	0.574468085106383	0.574468085106383	47	FALSE	FALSE
182222121	1	149355070	149355124	54	27	27	0.28	0.574468085106383	0.574468085106383	47	FALSE	FALSE
182282304	10	45734516	45734570	54	23	22	0.357143	0.48936170212766	0.468085106382979	47	FALSE	FALSE
182284084	10	50075201	50075255	54	22	23	0.366197	0.468085106382979	0.48936170212766	47	FALSE	FALSE
182462237	14	16058206	16058258	52	6	8	0.758621	0.122448979591837	0.163265306122449	49	FALSE	FALSE
182497490	15	20144188	20144243	55	11	10	0.631579	0.239130434782609	0.217391304347826	46	FALSE	FALSE
182548601	16	34386189	34386235	46	28	29	0.329412	0.509090909090909	0.527272727272727	55	FALSE	FALSE
182549481	16	35025594	35025640	46	28	28	0.333333	0.509090909090909	0.509090909090909	55	FALSE	FALSE
182560862	16	69948367	69948416	49	29	27	0.3	0.557692307692308	0.519230769230769	52	FALSE	FALSE
182560990	16	70171280	70171329	49	27	29	0.317073	0.519230769230769	0.557692307692308	52	FALSE	FALSE
182561445	16	71144350	71144403	53	25	24	0.328767	0.520833333333333	0.5	48	FALSE	FALSE
182712300	2	87027514	87027558	44	28	29	0.344828	0.491228070175439	0.508771929824561	57	FALSE	FALSE
182712636	2	87742371	87742415	44	33	30	0.284091	0.578947368421053	0.526315789473684	57	FALSE	FALSE
182714597	2	94644876	94644943	67	29	33	0.0882353	0.852941176470588	0.970588235294118	34	FALSE	FALSE
182766067	2	232443418	232443465	47	0	1	0.982143	0	0.0185185185185185	54	FALSE	FALSE
182798649	21	5022457	5022505	48	25	27	0.358025	0.471698113207547	0.509433962264151	53	FALSE	FALSE
182799163	21	6533330	6533422	92	4	4	0.428571	0.444444444444444	0.444444444444444	9	FALSE	FALSE
182799165	21	6537244	6537293	49	31	27	0.275	0.596153846153846	0.519230769230769	52	FALSE	FALSE
182814078	21	43141646	43141738	92	4	4	0.428571	0.444444444444444	0.444444444444444	9	FALSE	FALSE
182814080	21	43145559	43145608	49	27	31	0.309524	0.519230769230769	0.596153846153846	52	FALSE	FALSE
182814843	21	44240992	44241040	48	28	24	0.333333	0.528301886792453	0.452830188679245	53	FALSE	FALSE
183139975	7	61808530	61808579	49	26	29	0.329268	0.5	0.557692307692308	52	FALSE	FALSE
183140109	7	62221263	62221312	49	29	26	0.303797	0.557692307692308	0.5	52	FALSE	FALSE
183140795	7	63297186	63297237	51	21	22	0.410959	0.42	0.44	50	FALSE	FALSE
183140867	7	63450974	63451025	51	22	21	0.402778	0.44	0.42	50	FALSE	FALSE
183175394	7	144251603	144251654	51	24	23	0.364865	0.48	0.46	50	FALSE	FALSE
183175402	7	144299322	144299373	51	23	25	0.368421	0.46	0.5	50	FALSE	FALSE
183187363	8	7519655	7519701	46	27	27	0.349398	0.490909090909091	0.490909090909091	55	FALSE	FALSE
183187418	8	7801312	7801358	46	27	28	0.345238	0.490909090909091	0.509090909090909	55	FALSE	FALSE
183254704	9	38610729	38610773	44	0	1	0.983051	0	0.0175438596491228	57	FALSE	FALSE
183255512	9	40588276	40588333	57	35	35	0.125	0.795454545454545	0.795454545454545	44	FALSE	FALSE
183255519	9	40589068	40589112	44	46	46	0.115385	0.807017543859649	0.807017543859649	57	FALSE	FALSE
183256093	9	41744279	41744324	45	28	29	0.337209	0.5	0.517857142857143	56	FALSE	FALSE
183257292	9	61956331	61956376	45	29	28	0.329412	0.517857142857143	0.5	56	FALSE	FALSE
183257612	9	62930739	62930787	48	39	43	0.154639	0.735849056603774	0.811320754716981	53	FALSE	FALSE
183257741	9	63185809	63185876	67	28	30	0.107692	0.823529411764706	0.882352941176471	34	FALSE	FALSE
183257758	9	63274580	63274647	67	29	23	0.103448	0.852941176470588	0.676470588235294	34	FALSE	FALSE
183257819	9	63389247	63389304	57	37	37	0.097561	0.840909090909091	0.840909090909091	44	FALSE	FALSE
183258346	9	64579120	64579187	67	26	28	0.142857	0.764705882352941	0.823529411764706	34	FALSE	FALSE
183258410	9	64716539	64716583	44	45	45	0.126214	0.789473684210526	0.789473684210526	57	FALSE	FALSE
183258426	9	64717654	64717710	56	27	24	0.271429	0.6	0.533333333333333	45	FALSE	FALSE
183258658	9	65200067	65200124	57	37	35	0.1	0.840909090909091	0.795454545454545	44	FALSE	FALSE
183258665	9	65200859	65200903	44	45	43	0.128713	0.789473684210526	0.754385964912281	57	FALSE	FALSE
183259094	9	65820800	65820844	44	47	42	0.11	0.824561403508772	0.736842105263158	57	FALSE	FALSE
183259161	9	65937204	65937271	67	27	30	0.123077	0.794117647058823	0.882352941176471	34	FALSE	FALSE
183259365	9	66600192	66600240	48	41	41	0.136842	0.773584905660377	0.773584905660377	53	FALSE	FALSE
183291596	X	1012190	1012263	73	14	14	0.348837	0.5	0.5	28	FALSE	FALSE
183292391	X	1378459	1378507	48	27	26	0.3375	0.509433962264151	0.490566037735849	53	FALSE	FALSE
183293396	X	2192483	2192545	62	20	19	0.338983	0.512820512820513	0.487179487179487	39	FALSE	FALSE
183293696	X	2427263	2427312	49	24	28	0.358025	0.461538461538462	0.538461538461538	52	FALSE	FALSE
183293871	X	2541793	2541868	75	9	17	0.409091	0.346153846153846	0.653846153846154	26	FALSE	FALSE
183293928	X	2608224	2608276	52	21	28	0.371795	0.428571428571429	0.571428571428571	49	FALSE	FALSE
183350730	X	152722607	152722651	44	27	28	0.360465	0.473684210526316	0.491228070175439	57	FALSE	FALSE
183350737	X	152745821	152745865	44	28	28	0.348837	0.491228070175439	0.491228070175439	57	FALSE	FALSE
183351632	X	154561850	154561899	49	29	28	0.296296	0.557692307692308	0.538461538461538	52	FALSE	FALSE
183353593	Y	1012190	1012263	73	14	14	0.348837	0.5	0.5	28	FALSE	FALSE
183354388	Y	1378459	1378507	48	26	27	0.345679	0.490566037735849	0.509433962264151	53	FALSE	FALSE
183355393	Y	2192483	2192545	62	19	20	0.35	0.487179487179487	0.512820512820513	39	FALSE	FALSE
183355693	Y	2427263	2427312	49	28	24	0.324675	0.538461538461538	0.461538461538462	52	FALSE	FALSE
183355868	Y	2541793	2541868	75	17	9	0.277778	0.653846153846154	0.346153846153846	26	FALSE	FALSE
183355925	Y	2608224	2608276	52	28	21	0.309859	0.571428571428571	0.428571428571429	49	FALSE	FALSE
183357491	Y	6652183	6652236	53	1	0	0.979592	0.0208333333333333	0	48	FALSE	FALSE
183365534	Y	22012172	22012217	45	43	43	0.14	0.767857142857143	0.767857142857143	56	FALSE	FALSE
183365799	Y	22574173	22574218	45	43	44	0.138614	0.767857142857143	0.785714285714286	56	FALSE	FALSE
183365901	Y	22840283	22840332	49	32	34	0.241379	0.615384615384615	0.653846153846154	52	FALSE	FALSE
183365949	Y	23003454	23003503	49	33	36	0.224719	0.634615384615385	0.692307692307692	52	FALSE	FALSE
183366188	Y	23621465	23621510	45	40	42	0.171717	0.714285714285714	0.75	56	FALSE	FALSE
183366634	Y	24474031	24474080	49	35	36	0.202247	0.673076923076923	0.692307692307692	52	FALSE	FALSE
183366681	Y	24637196	24637245	49	36	32	0.2	0.692307692307692	0.615384615384615	52	FALSE	FALSE
183366903	Y	25196028	25196077	49	34	31	0.22619	0.653846153846154	0.596153846153846	52	FALSE	FALSE
183367357	Y	26048569	26048614	45	43	39	0.145833	0.767857142857143	0.696428571428571	56	FALSE	FALSE
182218346	1	120501856	120501901	45	30	31	0.306818	0.535714285714286	0.553571428571429	56	FALSE	FALSE
182218568	1	121114036	121114091	55	28	31	0.24359	0.608695652173913	0.673913043478261	46	FALSE	FALSE
182219632	1	143901410	143901465	55	29	27	0.243243	0.630434782608696	0.58695652173913	46	FALSE	FALSE
